documento,telefono,email,cuenta_bancaria,nombre,ciudad
13181185T,71351241,dolores.pedrosa46@yahoo.com,012826088449802723667219,Dolores Pedrosa Amo,Lugo
Z4395255Y,68349611,evelia.manuel95@hotmail.es,210029882330700168536401,Evelia Manuel Ayala,Cádiz
08257621T,63678718,rosa.peinado97@yahoo.com,004960152710530224943458,Rosa Peinado Portillo,Girona
59100162Y,65493466,santiago.azorin11@gmail.com,008119748859590128530362,Santiago Azorin Torrent,Sevilla
58268552F,64074615,valero.mur29@gmail.com,008109520864358519567777,Valero Mur Ramón,La Rioja
48813427K,65548257,lucia.blasco48@gmail.com,004945463837783013320399,Lucía Blasco Sanmiguel,Girona
62398633R,64509239,fausto.castilla8@yahoo.com,018253046207316427162759,Fausto Castilla Báez,Cáceres
21933456N,62439048,teobaldo.penalver35@yahoo.com,008100795055838706387885,Teobaldo Peñalver Gómez,Jaén
43403809A,63653801,ariadna.canizares69@hotmail.es,004930640103870988522410,Ariadna Cañizares Marí,Ceuta
80338724T,72470189,reina.company97@yahoo.com,018272546144584044520297,Reina Company Bravo,Albacete
15682654N,62967986,alma.alcaraz12@hotmail.es,008138548220368779729186,Alma Alcaraz Jiménez,Lugo
75684754B,63206230,ambar.falco37@yahoo.com,146503085448771154932278,Ámbar Falcó Bosch,Almería
17273342C,68481556,felipe.barrena86@hotmail.es,008195331361506706021915,Felipe Barrena Jove,La Rioja
05095990H,66157121,cirino.ortega91@empresa.org,210027466751679081116173,Cirino Ortega Bejarano,Alicante
67857241L,61177371,eleuterio.gallego37@gmail.com,008194780950527071565298,Eleuterio Gallego Sevillano,Pontevedra
X4648848L,62096983,leandra.hernandez39@gmail.com,018203216146933838279617,Leandra Hernández Balaguer,Granada
Z2492726Z,61483150,lara.banos95@yahoo.com,146540992188189500120178,Lara Baños Duran,Lugo
Z0517979R,62405679,rosario.chacon29@yahoo.com,004967531930088717231780,Rosario Chacón Bonilla,Cádiz
14405607V,67260692,judith.rosello90@yahoo.com,004997751476235358132895,Judith Roselló Gonzalez,Zaragoza
