documento,telefono,email,cuenta_bancaria,nombre,ciudad
78442627T,72331334,blas.goicoechea35@yahoo.com,ES3530457683214417061405,Blas Goicoechea Pomares,La Coruña
09053189K,66086292,candela.domenech61@gmail.com,ES5831216374578138963793,Candela Doménech Sáenz,Cantabria
74651219G,71884520,leoncio.tejedor42@gmail.com,ES1000613951334311177232,Leoncio Tejedor Olmedo,Zamora
20470157L,64497783,maricela.vega45@outlook.com,ES4414650157717672638101,Maricela Vega Oliva,Soria
85969490K,67287589,lazaro.quintanilla58@outlook.com,ES0931901725650529985260,Lázaro Quintanilla Parra,La Coruña
32383170K,69659640,miguela.ferrandiz75@empresa.org,ES3231049998763914947575,Miguela Ferrándiz Duarte,Jaén
33342595R,60653979,emilia.uriarte64@yahoo.com,ES5631352814144669008032,Emilia Uriarte Miguel,Málaga
X0060489E,71443316,modesto.pablo98@outlook.com,ES0831579448207486760763,Modesto Pablo Gual,Vizcaya
Z0148154Q,60359084,encarnacion.iborra34@hotmail.es,ES9701827432788109814452,Encarnación Iborra Martinez,Barcelona
36025171H,64517809,mateo.pelaez69@hotmail.es,ES8314919479032906551961,Mateo Peláez Fuentes,Valencia
36866856H,60940412,oriana.vigil62@gmail.com,ES7231345430877830734414,Oriana Vigil Alfonso,Segovia
84763472P,72368198,amalia.gallart46@outlook.com,ES2931272522533801509381,Amalia Gallart Burgos,Guadalajara
X7817581L,64113491,arcelia.gallo99@empresa.org,ES4730252262958800118295,Arcelia Gallo Alfonso,Ciudad
97542438J,67980717,aura.dominguez31@hotmail.es,ES0330708551156215238827,Aura Dominguez Egea,Lleida
48517307A,63256234,tomas.lucena58@hotmail.es,ES6614914556741770543825,Tomás Lucena Ordóñez,Cáceres
45230306R,67787731,pastora.valverde67@outlook.com,ES4121030513898206488093,Pastora Valverde Pereira,Castellón
09635619E,66356745,candelaria.marino74@yahoo.com,ES7431386758551460684633,Candelaria Mariño Donaire,Cáceres
75499198L,68614604,luciana.bautista97@yahoo.com,ES9030092115517662220340,Luciana Bautista Arteaga,Ourense
00269358M,71846940,xiomara.cabrera13@empresa.org,ES8400498731787240192170,Xiomara Cabrera Cuesta,Pontevedra
40877663Q,69810408,vera.penalver62@empresa.org,ES7431657126812689743689,Vera Peñalver Arco,Valencia
